t (ms),Ina (pA)
2.54,-109.8372613
2.55,-108.9198987
2.56,-108.0107311
2.57,-107.1096866
2.58,-106.2166941
2.59,-105.3316827
2.6,-104.4545824
2.61,-103.5853236
2.62,-102.7238372
2.63,-101.8700548
2.64,-101.0239085
2.65,-100.185331
2.66,-99.35425539
2.67,-98.53061547
2.68,-97.71434555
2.69,-96.90538045
2.7,-96.10365555
2.71,-95.30910678
2.72,-94.52167059
2.73,-93.74128395
2.74,-92.96788438
2.75,-92.20140992
2.76,-91.44179913
2.77,-90.68899109
2.78,-89.94292538
2.79,-89.20354213
2.8,-88.47078195
2.81,-87.74458597
2.82,-87.0248958
2.83,-86.31165359
2.84,-85.60480194
2.85,-84.90428398
2.86,-84.21004332
2.87,-83.52202403
2.88,-82.84017071
2.89,-82.1644284
2.9,-81.49474262
2.91,-80.83105938
2.92,-80.17332516
2.93,-79.52148687
2.94,-78.87549192
2.95,-78.23528817
2.96,-77.60082391
2.97,-76.97204792
2.98,-76.34890939
2.99,-75.73135798
3,-75.11934379
3.01,-74.51281734
3.02,-73.91172959
3.03,-73.31603195
3.04,-72.72567623
3.05,-72.14061467
3.06,-71.56079995
3.07,-70.98618514
3.08,-70.41672374
3.09,-69.85236965
3.1,-69.29307719
3.11,-68.73880108
3.12,-68.18949642
3.13,-67.64511873
3.14,-67.10562392
3.15,-66.57096829
3.16,-66.0411085
3.17,-65.51600164
3.18,-64.99560515
3.19,-64.47987685
3.2,-63.96877494
3.21,-63.462258
3.22,-62.96028495
3.23,-62.46281511
3.24,-61.96980813
3.25,-61.48122403
3.26,-60.9970232
3.27,-60.51716637
3.28,-60.04161461
3.29,-59.57032935
3.3,-59.10327235
3.31,-58.64040574
3.32,-58.18169195
3.33,-57.72709377
3.34,-57.27657431
3.35,-56.83009701
3.36,-56.38762565
3.37,-55.9491243
3.38,-55.5145574
3.39,-55.08388966
3.4,-54.65708612
3.41,-54.23411216
3.42,-53.81493342
3.43,-53.39951588
3.44,-52.98782583
3.45,-52.57982983
3.46,-52.17549477
3.47,-51.7747878
3.48,-51.37767641
3.49,-50.98412835
3.5,-50.59411165
3.51,-50.20759466
3.52,-49.82454598
3.53,-49.44493451
3.54,-49.06872942
3.55,-48.69590016
3.56,-48.32641646
3.57,-47.96024829
3.58,-47.59736593
3.59,-47.2377399
3.6,-46.881341
3.61,-46.52814027
3.62,-46.17810903
3.63,-45.83121884
3.64,-45.48744153
3.65,-45.14674918
3.66,-44.80911411
3.67,-44.47450889
3.68,-44.14290634
3.69,-43.81427953
3.7,-43.48860175
3.71,-43.16584656
3.72,-42.84598772
3.73,-42.52899927
